IMDb Ranking,Title,Year Release,Age Rating,Runtime,IMDb Rating,Country,Director(s),Top Casts,Original Language,Budget,Gross (Worldwide),Poster,Movie URL
210,Wild Strawberries,1957,Not Rated,1 hour 32 minutes,8.1,Sweden,Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand, Jullan Kindahl","Swedish, Latin",N/A,"$81,070","https://m.media-amazon.com/images/M/MV5BZWQ5MDllM2EtZWRmNS00MmZiLWI4ZWQtMjRiY2Q5MTAxODY4XkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg",https://www.imdb.com/title/tt0050986/
211,Logan,2017,R,2 hours 17 minutes,8.1,United States,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook, Stephen Merchant","English, Spanish","$97,000,000 (estimated)","$619,180,476","https://m.media-amazon.com/images/M/MV5BM2JjODdkMGMtNmY2YS00OGM2LThiY2YtZGYyNzE4Nzc2ODA0XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt3315342/
212,Rocky,1976,PG,2 hours,8.1,United States,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith","English, Spanish, Italian","$960,000 (estimated)","$117,253,345","https://m.media-amazon.com/images/M/MV5BZDEyY2M2MGMtYjg5OC00ZWFjLWFkZDQtNmQzZTdiYmYzZTBkXkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg",https://www.imdb.com/title/tt0075148/
213,The Third Man,1949,Approved,1 hour 44 minutes,8.1,United Kingdom,Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard, Paul Hörbiger","English, German, Russian, French",N/A,"$1,421,864","https://m.media-amazon.com/images/M/MV5BNTAwZjAwZDUtNDc1Yi00OGY3LTgzMjktYjIyMjQzOWE3MmVhXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg",https://www.imdb.com/title/tt0041959/
214,Tokyo Story,1953,Not Rated,2 hours 17 minutes,8.1,Japan,Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura, Setsuko Hara, Haruko Sugimura","Japanese, English",N/A,"$93,091","https://m.media-amazon.com/images/M/MV5BODdkNzcxZjItMDU2Yy00Y2JlLWFkYTQtNzIwM2Q4MWU5MTU2XkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg",https://www.imdb.com/title/tt0046438/
215,Spotlight,2015,R,2 hours 9 minutes,8.1,United States,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber, John Slattery",English,"$20,000,000 (estimated)","$98,690,254","https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1895587/
216,The Big Lebowski,1998,R,1 hour 57 minutes,8.1,United Kingdom,"Joel Coen, Ethan Coen","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, David Huddleston","English, German, Hebrew, Spanish","$15,000,000 (estimated)","$48,261,691","https://m.media-amazon.com/images/M/MV5BY2E3OWQ5OWYtYTRkMC00NjVjLWIzZDQtNmRmM2ZiYTIyYmYxXkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt0118715/
217,The Terminator,1984,R,1 hour 47 minutes,8.1,United Kingdom,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield, Lance Henriksen","English, Spanish","$6,400,000 (estimated)","$78,371,200","https://m.media-amazon.com/images/M/MV5BZmE0YzIxM2QtMGNlMi00MjRmLWE3MWMtOWQzMGVjMmU0YTFmXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0088247/
218,Maharaja,2024,Nithilan Saminathan,2 hours 21 minutes,8.4,India,Nithilan Saminathan,"Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas, Natarajan Subramaniam, Abhirami",Tamil,"₹200,000,000 (estimated)","$975,543","https://m.media-amazon.com/images/M/MV5BOTFlMTIxOGItZTk0Zi00MTk2LWJiM2UtMzlhZWYzNjQ4N2Y3XkEyXkFqcGc@._V1_QL75_UY281_CR11,0,190,281_.jpg",https://www.imdb.com/title/tt26548265/
219,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2 hours 23 minutes,8.1,United States,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport",English,"$140,000,000 (estimated)","$654,264,546","https://m.media-amazon.com/images/M/MV5BNDhlMzEyNzItMTA5Mi00YWRhLThlNTktYTQyMTA0MDIyNDEyXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0325980/
220,The Seventh Seal,1957,Not Rated,1 hour 36 minutes,8.1,Sweden,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot, Nils Poppe, Bibi Andersson","Swedish, Latin","$150,000 (estimated)","$312,104","https://m.media-amazon.com/images/M/MV5BZDlmYTkzOWUtODQ0MS00MmM4LWE3ZjMtYTEwNGUwMmJkYzIxXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg",https://www.imdb.com/title/tt0050976/
221,Room,2015,R,1 hour 58 minutes,8.1,Ireland,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson, Sandy McMaster",English,"$13,000,000 (estimated)","$35,402,766","https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt3170832/
222,La haine,1995,Not Rated,1 hour 38 minutes,8.1,France,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, Solo","French, Yiddish","€2,590,000 (estimated)","$760,243","https://m.media-amazon.com/images/M/MV5BMThlMDA3NDYtZGM2Zi00NmJhLThlYWItZjViZTkzZWU1ZWRiXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0113247/
223,Jai Bhim,2021,Approved,2 hours 44 minutes,8.6,India,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan, Prakash Raj",Tamil,N/A,N/A,"https://m.media-amazon.com/images/M/MV5BZjEyNDIzNmEtMjdkYS00ZDAwLTljOWYtNDRhYTVhYTlmOTk1XkEyXkFqcGc@._V1_QL75_UY281_CR18,0,190,281_.jpg",https://www.imdb.com/title/tt15097216/
224,Hotel Rwanda,2004,PG-13,2 hours 1 minute,8.1,United States,Terry George,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Xolani Mali, Desmond Dube","English, French, Kinyarwanda","$17,500,000 (estimated)","$33,882,243","https://m.media-amazon.com/images/M/MV5BY2FmMWRmZmQtN2IzMS00OGVmLWFmNjktMTM0YWQzODcwYTEwXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0395169/
225,Platoon,1986,R,2 hours,8.1,United States,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David, Forest Whitaker","English, Vietnamese","$6,000,000 (estimated)","$138,546,255","https://m.media-amazon.com/images/M/MV5BZjE4YjllODAtZGMxZS00Mjg2LThkOWUtZjNkMjQ5YThiNDU4XkEyXkFqcGc@._V1_QL75_UX190_CR0,8,190,281_.jpg",https://www.imdb.com/title/tt0091763/
226,The Best Years of Our Lives,1946,Approved,2 hours 50 minutes,8.1,United States,William Wyler,"Myrna Loy, Dana Andrews, Fredric March, Teresa Wright, Virginia Mayo",English,"$2,100,000 (estimated)","$23,667,133","https://m.media-amazon.com/images/M/MV5BNTgxMzUyODQtMDJmZC00ZGMyLWI3MzAtZTYwYjBjZjFmMzIxXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0036868/
227,Before Sunset,2004,R,1 hour 20 minutes,8.1,France,Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès, Rodolphe Pauly","English, French","$2,700,000 (estimated)","$16,506,532","https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0381681/
228,The Exorcist,1973,R,2 hours 2 minutes,8.1,United States,William Friedkin,"Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb, Kitty Winn","English, Latin, Greek, French, German, Arabic, Kurdish","$11,000,000 (estimated)","$430,872,776","https://m.media-amazon.com/images/M/MV5BZjg3YjE4ZjAtYTdmYS00ZTBkLWE1ZjgtNzAzODUwNzRiYjlmXkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg",https://www.imdb.com/title/tt0070047/
229,The Sound of Music,1965,G,2 hours 52 minutes,8.1,United States,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn, Peggy Wood","English, German","$8,200,000 (estimated)","$159,500,547","https://m.media-amazon.com/images/M/MV5BYWJhYmU4MjQtZDJhYi00ZGVjLTlkNTEtNzkzNGVjOWQ3MjcwXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0059742/
230,The Passion of Joan of Arc,1928,Passed,1 hour 54 minutes,8.1,France,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz, Antonin Artaud","None, French, Latin",N/A,"$22,731","https://m.media-amazon.com/images/M/MV5BYWMwMzEyYWQtYTlmNi00MTg0LTliYjUtZTFhMTMxOGEyNjNlXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0019254/
231,The Incredibles,2004,PG,1 hour 55 minutes,8.0,United States,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee, Dominique Louis","English, French, German, Italian, Portuguese, Russian","$92,000,000 (estimated)","$631,688,498","https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0317705/
232,The Wizard of Oz,1939,G,1 hour 42 minutes,8.1,United States,"Victor Fleming, King Vidor","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley",English,"$2,777,000 (estimated)","$25,637,669","https://m.media-amazon.com/images/M/MV5BYWRmY2I0MGItYTQ0OC00NWZmLWIwMDktYjJlNDc0MzVhMmViXkEyXkFqcGc@._V1_QL75_UX190_CR0,3,190,281_.jpg",https://www.imdb.com/title/tt0032138/
233,I'm Still Here,2024,2h 17m,2 hours 17 minutes,8.2,Brazil,Walter Salles,"Fernanda Torres, Fernanda Montenegro, Selton Mello, Valentina Herszage, Maria Manoella","Portuguese, French",N/A,"$36,112,960","https://m.media-amazon.com/images/M/MV5BM2FjMjBiZjgtZDkyYy00YTRlLTk5N2QtODE2ZWIyYWE0Yzg0XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt14961016/
234,Hachi: A Dog's Tale,2009,G,1 hour 33 minutes,8.1,United Kingdom,Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer, Jason Alexander","English, Japanese","$16,000,000 (estimated)","$46,749,646","https://m.media-amazon.com/images/M/MV5BNTU5NjYyYTgtZGQ3My00MzRhLThjNGYtZmVjN2JjYjhkMjhhXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt1028532/
235,Rush,2013,R,2 hours 3 minutes,8.1,United Kingdom,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino","English, German, Italian, French, Japanese, Spanish","$38,000,000 (estimated)","$96,992,516","https://m.media-amazon.com/images/M/MV5BMTZhOGQxM2ItNGQyYy00YzE5LWI5MjMtNmMzNGQzNDE1OTUzXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1979320/
236,Stand by Me,1986,R,1 hour 29 minutes,8.1,United States,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell, Kiefer Sutherland",English,"$8,000,000 (estimated)","$53,525,035","https://m.media-amazon.com/images/M/MV5BNGJkNTUwM2MtZWE2MS00YjNkLWE3MjktNWQwZDQxMDIyZWVmXkEyXkFqcGc@._V1_QL75_UX190_CR0,9,190,281_.jpg",https://www.imdb.com/title/tt0092005/
237,My Father and My Son,2005,1h 52m,1 hour 52 minutes,8.2,Turkey,Çagan Irmak,"Çetin Tekindor, Fikret Kuskan, Hümeyra, Ege Tanman, Serif Sezer",Turkish,N/A,"$18,612,999","https://m.media-amazon.com/images/M/MV5BZDE3MTBkNmQtNGFjMC00YTcwLWExY2ItN2MyMGZkNWJlMmFmXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0476735/
238,Network,1976,R,2 hours 1 minute,8.1,United States,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall, Wesley Addy",English,"$3,800,000 (estimated)","$23,701,317","https://m.media-amazon.com/images/M/MV5BY2E4ZGJiNTMtZTAxZC00MmVlLWI1NjYtMGVhMjhkOGEwZDhjXkEyXkFqcGc@._V1_QL75_UX190_CR0,5,190,281_.jpg",https://www.imdb.com/title/tt0074958/
239,The Iron Giant,1999,PG,1 hour 26 minutes,8.1,United States,Brad Bird,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel, James Gammon",English,"$70,000,000 (estimated)","$23,338,352","https://m.media-amazon.com/images/M/MV5BODM4ZjZjMGEtYmFiMy00MThjLWIzZjUtMDU0ODg1NTI2MzIwXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0129167/
240,The Handmaiden,2016,Not Rated,2 hours 25 minutes,8.1,South Korea,Park Chan-wook,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong, Moon So-ri, Kim Tae-ri","Korean, Japanese","₩10,000,000,000 (estimated)","$37,863,670","https://m.media-amazon.com/images/M/MV5BOTllZDI1OGItOGUxNS00OGZhLWIzMjAtYzllZTY1YTA0ZmYwXkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg",https://www.imdb.com/title/tt4016934/
241,A Silent Voice: The Movie,2016,Not Rated,2 hours 10 minutes,8.1,Japan,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono, Yûki Kaneko","Japanese, Japanese Sign Language, English",N/A,"$30,819,442","https://m.media-amazon.com/images/M/MV5BOTFiNzRiOWEtYTQwNy00NmRiLWE0ZWYtNTE0YjExZjFmZjkwXkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg",https://www.imdb.com/title/tt5323662/
242,The Battle of Algiers,1966,Not Rated,2 hours 1 minute,8.1,Italy,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash, Ugo Paletti","Arabic, French, English, Spanish","$800,000 (estimated)","$962,002","https://m.media-amazon.com/images/M/MV5BMTY2Mjk0OGEtYTM3Yy00ZWZiLWFhNjAtNGExMjEzNGVmMDMxXkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg",https://www.imdb.com/title/tt0058946/
243,To Be or Not to Be,1942,Approved,1 hour 39 minutes,8.1,United States,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack, Felix Bressart, Lionel Atwill","English, German, French",N/A,"$4,578,000","https://m.media-amazon.com/images/M/MV5BMTA5OTRkZGUtNDhhOS00OThmLTgwZWYtZGZkM2M4YjZhNzc5XkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0035446/
244,The Grapes of Wrath,1940,Approved,2 hours 9 minutes,8.1,United States,John Ford,"Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin, Dorris Bowdon",English,"$800,000 (estimated)","$7,304","https://m.media-amazon.com/images/M/MV5BZDgzZjk3OGYtNWI2Ny00MDg3LTgwYWEtNjI1ODAxNjA3ZmFlXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0032551/
245,Into the Wild,2007,R,2 hours 28 minutes,8.0,United States,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden, William Hurt","English, Danish","$15,000,000 (estimated)","$56,676,733","https://m.media-amazon.com/images/M/MV5BNTgwZTJhNWMtNzVjMy00YzQzLWI4MTAtYmJhOGQ5ZmQ3MDM0XkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0758758/
246,Groundhog Day,1993,PG,1 hour 41 minutes,8.0,United States,Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray","English, French, Italian","$14,600,000 (estimated)","$71,108,778","https://m.media-amazon.com/images/M/MV5BOWE3MjQ3ZDAtNDQ2MC00YjBjLTk0ZWYtNjQ0YzQ4YWE3YTEyXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0107048/
247,The Help,2011,PG-13,2 hours 26 minutes,8.1,United States,Tate Taylor,"Viola Davis, Emma Stone, Octavia Spencer, Bryce Dallas Howard, Jessica Chastain",English,"$25,000,000 (estimated)","$221,802,186","https://m.media-amazon.com/images/M/MV5BMTM5OTMyMjIxOV5BMl5BanBnXkFtZTcwNzU4MjIwNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1454029/
248,Amores Perros,2000,R,2 hours 34 minutes,8.0,Mexico,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero, Vanessa Bauche",Spanish,"$2,000,000 (estimated)","$20,908,467","https://m.media-amazon.com/images/M/MV5BMmUzNDI1MDYtNmIxNC00NjczLTk0ZDEtYWFkZDcxMWVhYTEwXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0245712/
249,Gangs of Wasseypur,2012,Not Rated,5 hours 21 minutes,8.2,India,Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha, Reema Sen",Hindi,"₹184,000,000 (estimated)","$4,384,642","https://m.media-amazon.com/images/M/MV5BMTc5NjY4MjUwNF5BMl5BanBnXkFtZTgwODM3NzM5MzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1954470/
250,Drishyam,2015,Not Rated,2 hours 43 minutes,8.2,India,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor, Ishita Dutta","Hindi, English","$9,400,000 (estimated)",N/A,"https://m.media-amazon.com/images/M/MV5BM2NmMGFjYTYtNWEwNS00MTM4LWE2ZTktNzZjMTE0OTQyNjFiXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg",https://www.imdb.com/title/tt4430212/
