IMDb Ranking,Title,Year Release,Age Rating,Runtime,IMDb Rating,Country,Director(s),Top Casts,Original Language,Budget,Gross (Worldwide),Poster,Movie URL
82,Princess Mononoke,1997,PG-13,2 hours 13 minutes,8.3,Japan,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup, Billy Bob Thornton",Japanese,"¥2,400,000,000 (estimated)","$177,402,188","https://m.media-amazon.com/images/M/MV5BNjAzODViNGEtMjBkYi00N2U5LWJjNjAtY2U0MGJhZTEwOTU0XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0119698/
83,High and Low,1963,Not Rated,2 hours 23 minutes,8.4,Japan,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai, Kyôko Kagawa, Tatsuya Mihashi",Japanese,"¥230,000,000 (estimated)","$64,503","https://m.media-amazon.com/images/M/MV5BMGJiNzllYjktODAzNS00OGUzLTlmY2MtMjA2ZTZhYTY1OTc4XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0057565/
84,Your Name.,2016,1h 46m,1 hour 46 minutes,8.4,Japan,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yûki, Nobunaga Shimazaki",Japanese,"¥370,000,000 (estimated)","$405,340,703","https://m.media-amazon.com/images/M/MV5BMjI1ODZkYTgtYTY3Yy00ZTJkLWFkOTgtZDUyYWM4MzQwNjk0XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt5311514/
85,3 Idiots,2009,PG-13,2 hours 50 minutes,8.4,India,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi, Kareena Kapoor","Hindi, English","₹550,000,000 (estimated)","$60,262,836","https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg",https://www.imdb.com/title/tt1187043/
86,Joker,2019,R,2 hours 2 minutes,8.3,United States,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen","English, German","$55,000,000 (estimated)","$1,078,958,629","https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt7286456/
87,Once Upon a Time in America,1984,R,3 hours 49 minutes,8.3,Italy,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld","English, Italian, French, Yiddish, Hebrew","$30,000,000 (estimated)","$5,476,126","https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0087843/
88,Capernaum,2018,R,2 hours 6 minutes,8.4,Lebanon,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad, Fadi Yousef","Arabic, Amharic","$4,000,000 (estimated)","$64,417,003","https://m.media-amazon.com/images/M/MV5BYzEyMzQ1OTktZTljZi00OWQzLWE2ZmUtZjQyNzBjYjE1NTc0XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt8267604/
89,Singin' in the Rain,1952,G,1 hour 43 minutes,8.3,United States,"Stanley Donen, Gene Kelly","Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell",English,"$2,540,800 (estimated)","$2,096,442","https://m.media-amazon.com/images/M/MV5BMGQzZDFjZWUtZDU4ZS00ZjM3LTgyYmItYjA3YmIwYzRkZWY3XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt0045152/
90,Come and See,1985,Not Rated,2 hours 22 minutes,8.3,Soviet Union,Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas, Jüri Lumiste","Belarusian, Russian, German",N/A,"$20,929,648","https://m.media-amazon.com/images/M/MV5BNDlkZmVkZDAtZGFmMS00OWIzLWJkY2YtNWE5NjNhNjhiZGE3XkEyXkFqcGc@._V1_QL75_UX190_CR0,5,190,281_.jpg",https://www.imdb.com/title/tt0091251/
91,Requiem for a Dream,2000,NC-17,1 hour 42 minutes,8.3,United States,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans, Christopher McDonald",English,"$4,500,000 (estimated)","$7,391,471","https://m.media-amazon.com/images/M/MV5BN2ZlMjIzZjctYzA2My00ZWYyLWI4ZjctMGI2NWYyNzFiZjAwXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0180093/
92,Star Wars: Episode VI - Return of the Jedi,1983,PG,2 hours 11 minutes,8.3,United States,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels","English, Kikuyu, Tagalog, Kalmyk-Oirat, Quechua, Polish","$32,500,000 (estimated)","$482,466,382","https://m.media-amazon.com/images/M/MV5BNWEwOTI0MmUtMGNmNy00ODViLTlkZDQtZTg1YmQ3MDgyNTUzXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg",https://www.imdb.com/title/tt0086190/
93,Toy Story 3,2010,G,1 hour 43 minutes,8.3,United States,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles","English, Spanish","$200,000,000 (estimated)","$1,067,316,101","https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_QL75_UY281_CR5,0,190,281_.jpg",https://www.imdb.com/title/tt0435761/
